characters_arzt;Arzt
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_6_direction;takes a deep breath
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_6;But now... Mmmm!
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_8;The salty breeze, the atmosphere... I think I want to stay at sea forever!
sequences_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq#8;[The car of the baroness comes. A dock worker has to jump for cover.]
sequences_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq#9;[Ohi and the doctor are looking to the car.]
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_9;The sea is one thing. The passengers are another.
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_10_direction;laughs
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_10;Ha ha ha.
spokentexts_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq_st_11;It will be OK.
sequences_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq#13;[The doctor puts on his hat, which he had held in his hands until now.]
sequences_arzt_top_a05_arzt_neuer_arbeitsplatz_tseq#14;[The two men look at each other again.]
texts_arzt_top_a05_arzt_verabschieden_tseq_title;Say goodbye
spokentexts_arzt_top_a05_arzt_verabschieden_tseq_st_1;Well. There's nothing left for me to do but to wish you a good trip.
spokentexts_arzt_top_a05_arzt_verabschieden_tseq_st_2_direction;surprised
spokentexts_arzt_top_a05_arzt_verabschieden_tseq_st_2;You are not coming with us?
spokentexts_arzt_top_a05_arzt_verabschieden_tseq_st_3;Unfortunately, no. I'm to go back to Zurich.
spokentexts_arzt_top_a05_arzt_verabschieden_tseq_st_4_direction;surprised
spokentexts_arzt_top_a05_arzt_verabschieden_tseq_st_4;What a pity!
sequences_arzt_top_a05_arzt_verabschieden_tseq#6;[The violinist comes into the picture.]
spokentexts_arzt_top_a05_arzt_verabschieden_tseq_st_8;Take care, Dr. Gebhardt.
sequences_arzt_top_a05_arzt_verabschieden_tseq#9;[Ohi looks toward Geiger.]
spokentexts_arzt_top_a05_arzt_verabschieden_tseq_st_9;Keep an eye on the other passengers!
sequences_arzt_top_a05_arzt_verabschieden_tseq#20;[The violinist gives Ohi an evil look, goes to the ramp back at the ship. The doctor hesitates, turns back to Ohi.]
spokentexts_arzt_top_a05_arzt_verabschieden_tseq_st_10;At least there'll be music.
sequences_arzt_top_a05_arzt_verabschieden_tseq#5;[The violinist goes to the ship. The doctor hesitates, turns back to Ohi.]
sequences_arzt_ex_1#1;[The doctor is ain front of the ship and looks at it. He has his hat in his hands. As idle variation he could go through his hair, as a second look, he could turn left and right to see the ship in its entire length.]
spokentexts_arzt_ex_1_st_1;Hmm?! Is the doctor afraid to board the ship?
spokentexts_arzt_talk_mit_1_st_1;Hello, Dr. Gebhardt!
sequences_arzt_talk_mit_1#2;[The doctor turns around.]
spokentexts_arzt_talk_mit_1_st_2;Ah!
spokentexts_arzt_talk_mit_1_st_3;The hero of the hour!
texts_baronin_top_a05_baronin_abenteuer_ueberstanden_tseq_title;Adventure in the tunnel
spokentexts_baronin_top_a05_baronin_abenteuer_ueberstanden_tseq_st_1;I hope you survived the adventure in the tunnel unharmed?
spokentexts_baronin_top_a05_baronin_abenteuer_ueberstanden_tseq_st_2_direction;indignantly
spokentexts_baronin_top_a05_baronin_abenteuer_ueberstanden_tseq_st_2;Scandalous! You book a first class cabin and then you're walking on the rails.
spokentexts_baronin_top_a05_baronin_abenteuer_ueberstanden_tseq_st_3_direction;indignantly
spokentexts_baronin_top_a05_baronin_abenteuer_ueberstanden_tseq_st_3;They wanted to bundle me off in a bus, without my luggage!
spokentexts_baronin_top_a05_baronin_abenteuer_ueberstanden_tseq_st_4_direction;placatory
spokentexts_baronin_top_a05_baronin_abenteuer_ueberstanden_tseq_st_4;The circumstances, madam...
spokentexts_baronin_top_a05_baronin_abenteuer_ueberstanden_tseq_st_5_direction;indignantly
spokentexts_baronin_top_a05_baronin_abenteuer_ueberstanden_tseq_st_5;I insisted on a limousine and didn't leave until all my luggage was recovered!
texts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_title;Journey to Cairo
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_1;I hope that the remainder of your trip to Cairo will be less stressful.
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_2;You aren't coming with us?!
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_3;I'm afraid Inspector Legrand doesn't want my company.
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_4;Fiddle-faddle! 
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_5;You found my purse while he just sat  on some boxes, guarding the bomb that nearly killed us all.
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_6;I want you to come with us.
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_7_direction;uncomprehendingly
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_7;I'd like that as well, but...
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_8;I'll speak to the captain and bear the costs.
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_9;Baroness! I don't know...
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_10;No, no trouble. I'll see to it.
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_11;That's a pity. In my opinion, another policeman guarding the Eye certainly wouldn't hurt.
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_12;On the other hand... You didn't manage to return my purse. 
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_13;But no offence.
spokentexts_baronin_top_a05_baronin_fahrt_nach_kairo_tseq_st_14;Now where is my damned butler?
texts_baronin_top_a05_baronin_tresor_tseq_title;Safe
spokentexts_baronin_top_a05_baronin_tresor_tseq_st_1;Did you know that the real Eye of the Sphinx wasn't even on the train?
spokentexts_baronin_top_a05_baronin_tresor_tseq_st_2;I had no idea!
spokentexts_baronin_top_a05_baronin_tresor_tseq_st_3_direction;slightly angry
spokentexts_baronin_top_a05_baronin_tresor_tseq_st_3;Inspector Legrand seems to prefer to keep me in the dark.
spokentexts_baronin_top_a05_baronin_tresor_tseq_st_4;Although I'm the one paying for all this.
spokentexts_baronin_top_a05_baronin_tresor_tseq_st_5;The inspector is ensuring the safety of the Eye.
spokentexts_baronin_top_a05_baronin_tresor_tseq_st_6;Well, obviously. All the same, it was you who did the real work on the train!
texts_junge_frau_mo_ex_1__2;Look at Miss Mayers
texts_frau_top_a05_frau_aegypten_tseq_title;Travel destination
spokentexts_frau_top_a05_frau_aegypten_tseq_st_1;Are you on your way to Egypt?
spokentexts_frau_top_a05_frau_aegypten_tseq_st_2;Yes.
spokentexts_frau_top_a05_frau_aegypten_tseq_st_3;Are you on holiday?
spokentexts_frau_top_a05_frau_aegypten_tseq_st_4;My father works for a railroad company there.
spokentexts_frau_top_a05_frau_aegypten_tseq_st_5_direction;impressed, thrilled
spokentexts_frau_top_a05_frau_aegypten_tseq_st_5;And is rebuilding the country after the war. Wonderful!
spokentexts_frau_top_a05_frau_aegypten_tseq_st_6_direction;sober busy
spokentexts_frau_top_a05_frau_aegypten_tseq_st_6;Yes, wonderful.
sequences_frau_top_a05_frau_aegypten_tseq#6;[The young woman is taking a suitcase from the back seat and gives it backward.]
spokentexts_frau_top_a05_frau_name_tseq_st_5;Could you help me, please?
spokentexts_frau_top_a05_frau_name_tseq_st_6;Err. Certainly.
sequences_frau_top_a05_frau_aegypten_tseq#10;[Ohi takes the suitcase,  is a bit confused. He looks around, do not know exactly what to do with it.]
sequences_frau_top_a05_frau_aegypten_tseq#11;[A dock worker takes his suitcase so that Ohi can focus on the next question.]
spokentexts_frau_top_a05_frau_name_tseq_st_7;One more.
sequences_frau_top_a05_frau_aegypten_tseq#14;[Ohi takes the suitcase, passes it on without looking.]
texts_frau_top_a05_frau_glueck_tseq_title;Great luck!
spokentexts_frau_top_a05_frau_glueck_tseq_st_1;You're lucky to have a father who takes you to so many interesting places!
spokentexts_frau_top_a05_frau_glueck_tseq_st_2_direction;sarcastic
spokentexts_frau_top_a05_frau_glueck_tseq_st_2;Oh, yes. Lucky me!
spokentexts_frau_top_a05_frau_glueck_tseq_st_3_direction;irritated
spokentexts_frau_top_a05_frau_glueck_tseq_st_3;Aren't you interested in Egypt? The pyramids? The history?
spokentexts_frau_top_a05_frau_glueck_tseq_st_4;I would have been more interested in a father who doesn't travel 300 days a year.
spokentexts_frau_top_a05_frau_glueck_tseq_st_5_direction;convinced
spokentexts_frau_top_a05_frau_glueck_tseq_st_5;I'm sure your father regrets that he can't always be with you!
spokentexts_frau_top_a05_frau_glueck_tseq_st_6_direction;sarcastic
spokentexts_frau_top_a05_frau_glueck_tseq_st_6;No doubt.
sequences_frau_top_a05_frau_glueck_tseq#6;[Woman gets up, has a suitcase in her hands, which she keeps in front of stomach / chest.]
spokentexts_frau_top_a05_frau_glueck_tseq_st_7;And I'm sure he always wanted the best for me. But that doesn't stop him from thinking only about himself far too often.
sequences_frau_top_a05_frau_glueck_tseq#8;[The woman gives Ohi the suitcase, obviously he is surprised.]
sequences_frau_top_a05_frau_glueck_tseq#9;[Cut further away.]
sequences_frau_top_a05_frau_glueck_tseq#10;[The woman goes to a dock worker.]
spokentexts_frau_top_a05_frau_glueck_tseq_st_8;Bring my luggage on board, please.
sequences_frau_top_a05_frau_glueck_tseq#12;[The dockworker nods and goes away.]
spokentexts_frau_top_a05_frau_glueck_tseq_st_9_direction;Hello? What is this?
spokentexts_frau_top_a05_frau_glueck_tseq_st_9;Excuse me?
sequences_frau_top_a05_frau_glueck_tseq#14;[The woman looks back over her shoulder.]
spokentexts_frau_top_a05_frau_glueck_tseq_st_10;It was a pleasure meeting you, Constable Zellner.
sequences_frau_top_a05_frau_glueck_tseq#16;[Ohi lowers the suitcase and puts him down.]
spokentexts_frau_top_a05_frau_glueck_tseq_st_11;Impertinent.
sequences_frau_top_a05_frau_glueck_tseq#18;[Cut back to the shot.]
texts_frau_top_a05_frau_name_tseq_title;Name of the woman?
spokentexts_frau_top_a05_frau_name_tseq_st_1;May I ask your name?
spokentexts_frau_top_a05_frau_name_tseq_st_2_direction;busy
spokentexts_frau_top_a05_frau_name_tseq_st_2;Patricia Mayers.
spokentexts_frau_top_a05_frau_name_tseq_st_3;Are you American?
spokentexts_frau_top_a05_frau_name_tseq_st_4_direction;busy
spokentexts_frau_top_a05_frau_name_tseq_st_4;I am.
sequences_frau_top_a05_frau_name_tseq#4;[The young woman is taking a suitcase from the back seat and gives it backward.]
sequences_frau_top_a05_frau_name_tseq#8;[Ohi accepts the case, is a bit confused. He looks around, do not know exactly what to do with it.]
sequences_frau_top_a05_frau_name_tseq#9;[A dock worker takes his suitcase so that Ohi can focus on the next question.]
sequences_frau_top_a05_frau_name_tseq#12;[Ohi takes the suitcase, passes it on without looking.]
spokentexts_junge_frau_ex_1_st_1;Miss Mayers is so delightful that one is happy to forgive her impertinence.
spokentexts_junge_frau_ex_1_st_2;Until she stops seeming so delightful. From then on, she's just impertinent.
spokentexts_junge_frau_ex_2_st_1;She wasn't on the train.
spokentexts_junge_frau_ex_2_st_2;So I don't think she'll be much help solving the case.
texts_kapitaen_mo_ex_1__2;Look at the captain
texts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_title;Invitation from the baroness
sequences_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq#0;[Ohi looks at the investigator.]
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_1;Good news! The baroness invited me to come along.
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_2;And as a PRIVATE CITIZEN, I'm pleased to accept. A holiday on the high sea... Magnificent!
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_3;Indeed! There's nothing finer...
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_4;Unfortunately, the constable is needed in Switzerland.
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_5_direction;protesting
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_5;But inspector...
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_6_direction;threateningly
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_6;There is an investigation into his obstruction of Interpol operations.
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_7;I have a ticket and I am...
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_8;...not coming along as long as I'm on board. End of discussion.
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_9_direction;angry noise
spokentexts_kapitaen_top_a05_kapitaen_einladung_der_baronin_tseq_st_9;Hmrgm.
texts_kapitaen_top_a05_kapitaen_frachtraum_tseq_title;Where is the cargo hold?
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_1_direction;defiant
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_1;Regardless of what you say, I would still like to examine the cargo hold!
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_2_direction;gives up
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_2;Alright then. If you like.
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_3;But we'll meet here again in ten minutes!
sequences_kapitaen_top_a05_kapitaen_frachtraum_tseq#3;[Investigator turns to the captain.]
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_4;Captain di Conti - before we depart, I'd like to send two telegrams.
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_5;Certainly, Inspector.
sequences_kapitaen_top_a05_kapitaen_frachtraum_tseq#6;[The captain turns to Ohi.]
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_6;The cargo hold is over there. You can enter through a door on the forecastle.
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_7;The horn will sound twice five minutes before we set off. That's the signal for all the dockworkers to leave the ship.
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_8;Understood, captain.
sequences_kapitaen_top_a05_kapitaen_frachtraum_tseq#10;[The captain nods friendly, then turns to the investigators.]
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_9;Follow me to the bridge. You can send your telegrams from there.
sequences_kapitaen_top_a05_kapitaen_frachtraum_tseq#12;[The captain and the investigators go away. Ohi remains.]
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_10;My time is running out.
spokentexts_kapitaen_top_a05_kapitaen_frachtraum_tseq_st_11;If I don't find anything in the cargo hold, my cruise will be over before it even begins.
sequences_kapitaen_top_a05_kapitaen_frachtraum_tseq#16;[Ohi goes towards the cargo room out of the picture.]
texts_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq_title;Journey to Egypt
spokentexts_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq_st_1;I'd like to accept your offer.
sequences_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq#1;[Ohi looks at the investigator.]
spokentexts_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq_st_2;But unfortunately, higher powers prevent it.
spokentexts_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq_st_3;I am sorry to hear that.
sequences_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq#4;[Ohi looks back at the captain.]
spokentexts_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq_st_4;We are by no means full and have plenty of room for one more passenger!
spokentexts_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq_st_5;The constable just wants to have a quick look around and then leave before we set sail.
sequences_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq#7;[The investigators looked at the captain.]
spokentexts_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq_st_6;When will that be?
sequences_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq#9;[The captain pulls out a pocket watch.]
spokentexts_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq_st_7;Oh, in about fifteen minutes.
sequences_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq#11;[The investigator looks at Ohi.]
spokentexts_kapitaen_top_a05_kapitaen_reise_nach_aegypten_tseq_st_8;There you have it, Constable.
texts_kapitaen_top_a05_kapitaen_tickets_tseq_title;Boarding without tickets?
spokentexts_kapitaen_top_a05_kapitaen_tickets_tseq_st_1;What do you mean?
spokentexts_kapitaen_top_a05_kapitaen_tickets_tseq_st_2;You can't buy a ticket for the Lydia at the counter.
spokentexts_kapitaen_top_a05_kapitaen_tickets_tseq_st_3;You book the trip in advance. We know the names of all the passengers.
spokentexts_kapitaen_top_a05_kapitaen_tickets_tseq_st_4;As long as a passenger is on the guest list, we let them board the ship. Doesn't matter if they have a ticket or not.
spokentexts_kapitaen_top_a05_kapitaen_tickets_tseq_st_5;And did any of the passengers board without a ticket?
sequences_kapitaen_top_a05_kapitaen_tickets_tseq#5;[The captain looks at the investigator.]
spokentexts_kapitaen_top_a05_kapitaen_tickets_tseq_st_6;I couldn't say.
spokentexts_kapitaen_top_a05_kapitaen_tickets_tseq_st_7;We ask for a name and check it on the list. The tickets are no more than souvenirs for the passengers.
sequences_kapitaen_top_a05_kapitaen_tickets_tseq#9;[The captain looks at Ohi.]
spokentexts_kapitaen_top_a05_kapitaen_tickets_tseq_st_9;So much for your trunk theory!
texts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_title;Suspicious chest
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_1;May I ask how to get to the cargo hold?
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_2;Oh, Signore, there are much nicer places on board!
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_3_direction;friendly
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_3;But I'm interested in the cargo hold.
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_4;Why's that?
sequences_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq#4;[Ohi looks at the investigator.]
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_5;One of the trunks seems suspicious to me. Someone could be hidden in it.
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_9;You...
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_10_direction;mocking
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_10;You want to imply that the most brilliant and probably richest thief in all of Europe is stowing away in a trunk?
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_11;That's not his style.
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_12_direction;angry
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_12;That's what makes it more likely that it's not HIM but a copycat who's behind all this!
sequences_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq#15;[The investigators stirs with a brief gesture.]
sequences_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq#17;[The captain looks back.]
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_14_direction;angry
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_14;"And the copycat's ""style"" might include doing whatever it takes!"
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_15_direction;angry
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_15;Like hiding in a trunk if they've lost their ticket!
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_16_direction;does not think so
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_16;Oh, come now!
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_17;Actually...
sequences_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq#22;[Ohi and the investigator looking at the captain.]
spokentexts_kapitaen_top_a05_kapitaen_verdaechtige_truhe_tseq_st_18;� it would be possible for a registered passenger to board the ship without a ticket.
spokentexts_kapitaen_ex_1_st_1;The captain greets each of the passengers...
spokentexts_kapitaen_ex_1_st_2;...as though they were old friends.
spokentexts_kapitaen_ex_2_st_1;How much did Legrand tell him?
spokentexts_kapitaen_ex_2_st_2;He must know what his ship is carrying across the Mediterranean.
spokentexts_kapitaen_ex_2_st_3;But does he also know about the burglary on the train - and the explosion?
texts_a05_shotchange_autofrau_mo_gehe_zum_auto_der_jungen_frau;Go to the young woman's car
texts_a05_ausgang_autofrau_mo_gehe_zurueck;Go back
texts_items_trigger_dunkle_ecke_mouseover01;Go into the dark
texts_items_trigger_baronin_ohnmacht_mo_leave_1;Go to the baroness�s car
